Timestamp(ms),Center of Gravity X,Center of Gravity Y,Left Arm Angle,Right Arm Angle,left_shoulder_X,left_shoulder_Y,right_shoulder_X,right_shoulder_Y,left_elbow_X,left_elbow_Y,right_elbow_X,right_elbow_Y,left_wrist_X,left_wrist_Y,right_wrist_X,right_wrist_Y,left_hip_X,left_hip_Y,right_hip_X,right_hip_Y,left_knee_X,left_knee_Y,right_knee_X,right_knee_Y,left_ankle_X,left_ankle_Y,right_ankle_X,right_ankle_Y
691,0.58125,0.75628,,,0.55392,0.92556,0.60858,0.58701,0.87296,0.97785,0.87652,0.51421,0.90862,0.81839,0.92263,0.64214,0.99586,0.86951,1.00136,0.64228,0.9474,0.96934,1.01587,0.5254,0.97273,0.78573,0.97809,0.70155
1048,0.57931,0.74974,70.68,109.86,0.55394,0.9144,0.60468,0.58507,0.93166,0.98211,0.87356,0.51538,0.90395,0.81023,0.96247,0.64529,0.99792,0.86761,1.00446,0.64257,0.95032,0.96605,0.9842,0.51145,0.97368,0.78626,0.9815,0.70123
1398,0.58005,0.75582,,108.04,0.55491,0.92165,0.60519,0.58998,0.91555,0.98034,0.88369,0.52038,0.90176,0.81031,0.96268,0.64641,0.99687,0.86946,1.00432,0.64311,0.94918,0.96566,0.98072,0.51095,0.97249,0.8024,0.98131,0.70274
1768,0.71421,0.7853,,96.56,0.55387,0.91621,0.59481,0.57779,0.87919,0.97789,0.89106,0.50171,0.9246,0.79782,0.96057,0.68315,0.99396,0.86189,1.00152,0.65954,0.97474,0.97103,0.98411,0.4966,0.97867,0.76949,0.97719,0.72369
2108,0.57352,0.73371,102.4,95.61,0.59916,0.90384,0.54787,0.56357,0.87831,0.95519,0.87247,0.49586,0.91893,0.8587,0.94958,0.74207,0.99794,0.81607,0.9984,0.60989,0.98478,0.91729,0.95635,0.49271,0.98628,0.80373,0.96807,0.74925
2453,0.69643,0.74178,142.5,,0.5775,0.92548,0.53616,0.63832,0.83219,0.97581,0.82892,0.55723,0.93048,0.92718,0.95467,0.72616,0.98384,0.86854,0.97564,0.66154,0.97174,0.95452,0.97383,0.71285,0.9862,0.86598,0.9847,0.83335
2800,0.76708,0.76309,,,0.55644,0.99171,0.55603,0.75615,0.80271,0.9808,0.82168,0.69804,0.93012,0.96737,0.95283,0.86739,0.98442,0.94471,0.97812,0.77004,0.82355,0.96097,0.98545,0.85658,0.99642,0.89143,0.99399,0.84884
3139,0.58811,0.77193,,94.27,0.56182,0.99524,0.58811,0.77193,0.82962,0.9751,0.90801,0.7209,0.93536,0.96495,0.95848,0.93374,0.98821,0.97971,0.98803,0.81843,1.00129,0.74962,1.00236,0.76877,0.99511,0.94258,0.99255,0.91652
3480,0.76518,0.71604,,,0.54201,0.99241,0.54286,0.70437,0.74871,0.9877,0.78003,0.64898,0.89284,0.93812,0.94426,0.80538,0.98671,0.931,0.9875,0.72771,0.96698,0.90026,0.98073,0.66108,0.98813,0.85868,0.98631,0.84328
3820,0.76695,0.78029,,88.56,0.53651,0.95516,0.56157,0.61009,0.75174,0.98492,0.7799,0.53703,0.84087,0.76529,0.83594,0.71965,0.98202,0.88783,0.98768,0.66809,0.96968,0.95938,1.01309,0.46472,0.9816,0.77976,0.98304,0.75118
4188,0.77096,0.7851,,297.05,0.54437,0.92907,0.56972,0.60509,0.81838,0.97978,0.84145,0.60783,0.73993,0.86311,0.72335,0.83351,0.98749,0.90381,0.98226,0.70246,0.95104,0.96434,0.96707,0.44308,0.99764,0.82143,0.99915,0.80627
4530,0.76535,0.77502,,,0.53957,0.935,0.55219,0.5805,0.82171,0.97878,0.8648,0.6002,0.74232,0.88958,0.67469,0.75023,0.9878,0.90187,0.98182,0.68273,0.98115,0.94881,0.97383,0.45323,0.9955,0.78934,0.99541,0.79109
4918,0.75601,0.78177,,,0.52092,0.95639,0.54062,0.57515,0.80353,0.97768,0.84535,0.58844,0.74634,0.91989,0.76173,0.8355,0.98098,0.91242,0.9815,0.68311,0.98187,0.96718,0.96184,0.44624,1.00045,0.76689,1.00269,0.74861
5249,0.7591,0.78831,,,0.51956,0.96185,0.54578,0.5782,0.79426,0.99608,0.84433,0.60131,0.76816,0.9228,0.79484,0.81041,0.98754,0.92374,0.98351,0.68944,0.98275,0.9699,0.96225,0.43078,0.97597,0.83861,0.99726,0.77615
5618,0.69034,0.75465,,,0.52525,0.95847,0.56058,0.60015,0.7897,0.99226,0.86363,0.61483,0.77848,0.91049,0.78293,0.87186,0.98699,0.91092,0.98518,0.70532,0.98325,0.97373,0.96239,0.44439,0.99661,0.8223,0.99822,0.8128
5960,0.76207,0.80284,,,0.51999,0.96548,0.55812,0.61008,0.77085,0.99267,0.86069,0.6188,0.78819,0.91823,0.79595,0.86196,0.98678,0.92766,0.98337,0.70816,0.98199,0.97294,0.96085,0.44513,0.97779,0.89837,0.99734,0.81623
6300,0.68871,0.76264,,,0.52165,0.96514,0.5602,0.61616,0.77399,0.99018,0.85681,0.62436,0.78419,0.92215,0.78469,0.88771,0.98255,0.91966,0.98429,0.70662,0.98091,0.97168,0.96097,0.44548,0.97982,0.87815,0.99734,0.8805
6648,0.6871,0.76531,,,0.5144,0.9633,0.56303,0.60718,0.84437,0.96321,0.88245,0.60172,0.72066,0.92435,0.77219,0.83804,0.98248,0.93549,0.98386,0.72545,0.92027,0.97346,0.96496,0.44419,0.86509,0.96523,1.01371,0.78021
7000,0.6915,0.83515,89.5,100.79,0.52974,0.97128,0.56099,0.60687,0.85096,0.97492,0.80046,0.575,0.85166,0.71346,0.82981,0.6634,0.98376,0.92731,0.99122,0.70259,0.89394,0.95993,1.00434,0.57209,0.98524,0.77349,0.98358,0.74134
7360,0.53801,0.79573,,,0.53207,0.98269,0.54395,0.60877,0.84355,0.98554,0.81892,0.55837,0.84984,0.9331,0.83418,0.66424,0.98628,0.92613,0.99227,0.71742,0.94508,0.95896,0.91159,0.47218,0.99966,0.72456,1.00042,0.68012
7710,0.68772,0.8314,,,0.52731,0.97901,0.54885,0.61037,0.80511,0.99209,0.81962,0.55853,0.95167,0.95881,0.9692,0.47803,0.98701,0.90483,0.99471,0.69627,0.93553,0.96635,0.91529,0.46725,1.00196,0.93416,1.00322,0.88144
8063,0.76205,0.79718,,,0.5211,0.9829,0.55321,0.60288,0.80382,0.98951,0.83489,0.54863,0.73802,0.9446,0.95753,0.47852,0.98435,0.9056,0.98953,0.69733,0.95767,0.91622,0.91236,0.4688,0.98429,0.91648,0.99934,0.8779
