Timestamp(ms),Center of Gravity X,Center of Gravity Y,Left Arm Angle,Right Arm Angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,right_elbow X,right_elbow Y,left_wrist X,left_wrist Y,right_wrist X,right_wrist Y,left_hip X,left_hip Y,right_hip X,right_hip Y,left_knee X,left_knee Y,right_knee X,right_knee Y,left_ankle X,left_ankle Y,right_ankle X,right_ankle Y
1,0.14355,0.51833,176.1,174.44,0.04347,0.61855,0.04537,0.42522,0.25889,0.67152,0.25753,0.36449,0.45935,0.70656,0.49241,0.32135,0.24433,0.56798,0.24106,0.46157,0.44153,0.58475,0.43979,0.43941,0.74325,0.59312,0.75512,0.45134
192,0.14609,0.51698,175.74,170.81,0.04625,0.61722,0.04776,0.42448,0.26757,0.67191,0.24913,0.36477,0.46822,0.70592,0.50042,0.33247,0.24696,0.56484,0.2434,0.46137,0.45537,0.584,0.45625,0.44387,0.74409,0.59213,0.75365,0.45417
1369,0.13861,0.51773,173.47,170.48,0.04288,0.61938,0.04295,0.42538,0.2638,0.66976,0.2496,0.36374,0.47141,0.69274,0.48277,0.33476,0.23843,0.56504,0.2302,0.46112,0.44684,0.59213,0.43518,0.44095,0.7439,0.59186,0.74571,0.44961
4107,0.14189,0.5205,,168.83,0.05206,0.6212,0.0446,0.42158,0.26827,0.66796,0.23702,0.3688,0.47681,0.69488,0.49055,0.35031,0.23899,0.57346,0.23192,0.46578,0.44341,0.59183,0.42498,0.43533,0.73375,0.59196,0.73583,0.44527
4308,0.13887,0.51993,,168.0,0.04729,0.62115,0.04442,0.41865,0.26932,0.66849,0.23064,0.36839,0.47595,0.69425,0.49014,0.35433,0.23378,0.57402,0.22998,0.46592,0.45279,0.59096,0.42906,0.44147,0.73703,0.59203,0.73697,0.43747
4502,0.14185,0.52369,173.34,167.82,0.04616,0.62206,0.04278,0.42708,0.25912,0.67054,0.22797,0.37233,0.47281,0.69363,0.4874,0.35285,0.24154,0.57701,0.23693,0.46859,0.44836,0.59248,0.42383,0.44595,0.73628,0.59273,0.7379,0.44432
4896,0.13805,0.52413,172.66,164.59,0.04288,0.61943,0.04837,0.42168,0.27015,0.67923,0.24632,0.36697,0.47053,0.70528,0.49306,0.36679,0.23257,0.583,0.2284,0.47242,0.44624,0.59188,0.43492,0.44413,0.74303,0.58983,0.7451,0.44612
5099,0.13648,0.52411,173.51,167.11,0.03966,0.62029,0.04194,0.42308,0.26703,0.67705,0.24355,0.36796,0.47409,0.70442,0.49168,0.35756,0.2347,0.57933,0.22961,0.47373,0.44786,0.59241,0.4353,0.4458,0.73819,0.59137,0.73646,0.44816
5299,0.13345,0.52345,172.67,167.18,0.04084,0.61841,0.0386,0.42309,0.26672,0.6772,0.2396,0.37255,0.47539,0.70378,0.48669,0.36698,0.2273,0.57892,0.22707,0.47339,0.44294,0.59136,0.43304,0.44241,0.74442,0.58924,0.74323,0.44474
5693,0.13734,0.52564,173.92,166.29,0.04148,0.6227,0.04071,0.42475,0.2648,0.67609,0.24083,0.37112,0.47367,0.70311,0.49223,0.36547,0.23747,0.57993,0.2297,0.47516,0.45094,0.59321,0.42669,0.43869,0.74344,0.59041,0.74044,0.44823
5886,0.13605,0.52317,171.11,166.84,0.0421,0.61759,0.04365,0.42309,0.26577,0.67689,0.24318,0.37095,0.47413,0.69865,0.49135,0.36454,0.22898,0.57955,0.22949,0.47244,0.44589,0.59383,0.43144,0.44348,0.74406,0.59502,0.73863,0.44336
6080,0.13462,0.52464,171.88,167.66,0.03938,0.62083,0.03332,0.42479,0.26415,0.67801,0.2392,0.3727,0.47309,0.70053,0.49035,0.36455,0.23513,0.57961,0.23067,0.47332,0.44436,0.59612,0.42343,0.43975,0.74133,0.59087,0.74088,0.44466
6260,0.13714,0.52416,173.9,166.6,0.04044,0.61876,0.04055,0.42231,0.27455,0.67397,0.24828,0.36653,0.47883,0.69966,0.49313,0.35955,0.23652,0.58248,0.23106,0.47307,0.4475,0.5957,0.42355,0.43916,0.74797,0.5938,0.74643,0.44347
6469,0.13822,0.52197,171.1,167.18,0.04399,0.61829,0.0413,0.42038,0.26,0.67606,0.23844,0.36928,0.47217,0.69861,0.49056,0.36174,0.2365,0.5767,0.23109,0.47251,0.45481,0.59354,0.42754,0.43922,0.74279,0.59008,0.736,0.44514
6652,0.13718,0.52406,174.88,166.94,0.04709,0.62384,0.03958,0.42022,0.26432,0.66991,0.23972,0.36641,0.475,0.69524,0.49304,0.3576,0.23472,0.58053,0.22732,0.47164,0.45328,0.59229,0.43628,0.4422,0.74592,0.59472,0.74306,0.4465
